rule_id,priority,category,attribute,operator,value,score_adjustment,description
1,1,dosha,dosha_tags,contains,Vata,-1,"Food aggravates Vata"
2,1,dosha,dosha_tags,contains,Pitta,-1,"Food aggravates Pitta"
3,1,dosha,dosha_tags,contains,Kapha,-1,"Food aggravates Kapha"
4,1,dosha,dosha_tags,contains,Balancing,1,"Food is balancing for all doshas"
5,2,season,season,not_contains,winter,-1,"Not ideal for winter"
6,2,season,season,not_contains,summer,-1,"Not ideal for summer"
7,2,season,season,not_contains,monsoon,-1,"Not ideal for monsoon"
8,2,season,season,not_contains,spring,-1,"Not ideal for spring"
9,2,season,season,not_contains,autumn,-1,"Not ideal for autumn"
10,3,contraindications,name,equals,Refined Flour,-2,"Avoid refined flour"
11,3,contraindications,name,equals,Red Meat,-2,"Avoid red meat"
12,4,goal,name,equals,Weight Loss,-1,"High calorie food, not ideal for weight loss"
13,4,goal,name,equals,Weight Gain,1,"High calorie food, good for weight gain"
14,1,dosha,virya,equals,heating,-1,"Heating foods aggravate Pitta"
15,1,dosha,virya,equals,cooling,-1,"Cooling foods aggravate Vata and Kapha"
16,1,dosha,guna,contains,dry,-1,"Dry foods aggravate Vata"
17,1,dosha,guna,contains,light,-1,"Light foods aggravate Vata"
18,1,dosha,guna,contains,heavy,1,"Heavy foods pacify Vata"
19,1,dosha,guna,contains,unctuous,1,"Unctuous (oily) foods pacify Vata"
20,1,dosha,rasa,contains,pungent,-1,"Pungent taste aggravates Pitta"
21,1,dosha,rasa,contains,sour,-1,"Sour taste aggravates Pitta"
22,1,dosha,rasa,contains,salty,-1,"Salty taste aggravates Pitta"
23,1,dosha,rasa,contains,sweet,1,"Sweet taste pacifies Pitta"
24,1,dosha,rasa,contains,bitter,1,"Bitter taste pacifies Pitta"
25,1,dosha,rasa,contains,astringent,1,"Astringent taste pacifies Pitta"
26,1,dosha,rasa,contains,sweet,-1,"Sweet taste aggravates Kapha"
27,1,dosha,rasa,contains,sour,-1,"Sour taste aggravates Kapha"
28,1,dosha,rasa,contains,salty,-1,"Salty taste aggravates Kapha"
29,1,dosha,rasa,contains,pungent,1,"Pungent taste pacifies Kapha"
30,1,dosha,rasa,contains,bitter,1,"Bitter taste pacifies Kapha"
31,1,dosha,rasa,contains,astringent,1,"Astringent taste pacifies Kapha"
